date,name student,rating,number rating
2020-01-02,Denis,5,4
2020-01-05,Denis,4,4
2020-01-07,Denis,4,7
2020-01-12,Denis,4,6
2020-01-17,Denis,3,1
2020-01-18,Denis,5,4
2020-01-20,Denis,5,7
2020-01-26,Denis,2,4
2020-01-29,Denis,5,5
2020-01-31,Denis,4,5
2020-02-06,Denis,3,2
2020-02-08,Denis,3,3
2020-02-09,Denis,3,2
2020-02-11,Denis,2,1
2020-02-16,Denis,5,6
2020-02-19,Denis,3,2
2020-02-21,Denis,5,1
2020-02-22,Denis,5,1
2020-02-25,Denis,4,4
2020-03-03,Denis,3,1
2020-03-09,Denis,2,1
2020-03-11,Denis,2,3
2020-03-14,Denis,2,4
2020-03-15,Denis,5,3
2020-03-16,Denis,5,6
2020-03-19,Denis,4,2
2020-03-24,Denis,3,6
2020-03-27,Denis,3,1
2020-04-02,Denis,5,4
2020-04-04,Denis,4,6
2020-04-08,Denis,5,2
2020-04-10,Denis,5,4
2020-04-11,Denis,4,7
2020-04-12,Denis,3,5
2020-04-14,Denis,2,3
2020-04-15,Denis,3,5
2020-04-17,Denis,3,6
2020-04-28,Denis,3,1
2020-04-29,Denis,4,1
2020-05-02,Denis,2,1
2020-05-03,Denis,3,7
2020-05-08,Denis,2,1
2020-05-09,Denis,4,5
2020-05-10,Denis,2,2
2020-05-17,Denis,5,3
2020-05-22,Denis,4,5
2020-05-24,Denis,2,7
2020-05-29,Denis,3,6
2020-06-01,Denis,4,2
2020-06-10,Denis,4,1
2020-06-15,Denis,3,2
2020-06-16,Denis,3,3
2020-06-17,Denis,3,5
2020-06-21,Denis,3,2
2020-06-22,Denis,2,4
2020-06-23,Denis,4,3
2020-06-25,Denis,2,3
2020-06-29,Denis,2,4
2020-07-07,Denis,5,5
2020-07-08,Denis,4,1
2020-07-13,Denis,4,1
2020-07-14,Denis,2,3
2020-07-16,Denis,4,2
2020-07-18,Denis,2,7
2020-07-23,Denis,2,4
2020-07-27,Denis,4,3
2020-07-30,Denis,2,3
2020-08-01,Denis,4,2
2020-08-02,Denis,2,6
2020-08-03,Denis,3,6
2020-08-08,Denis,3,1
2020-08-09,Denis,2,1
2020-08-10,Denis,4,2
2020-08-11,Denis,2,1
2020-08-12,Denis,3,2
2020-08-14,Denis,4,1
2020-08-15,Denis,2,7
2020-08-19,Denis,2,6
2020-08-20,Denis,4,7
2020-08-23,Denis,3,3
2020-08-24,Denis,2,4
2020-08-27,Denis,3,2
2020-09-03,Denis,5,2
2020-09-04,Denis,3,3
2020-09-05,Denis,4,7
2020-09-06,Denis,3,4
2020-09-07,Denis,2,2
2020-09-12,Denis,3,5
2020-09-16,Denis,2,7
2020-09-18,Denis,5,5
2020-09-19,Denis,4,3
2020-09-20,Denis,5,6
2020-09-21,Denis,2,4
2020-09-24,Denis,4,1
2020-09-25,Denis,2,3
2020-09-26,Denis,4,2
2020-09-29,Denis,5,7
2020-10-03,Denis,4,6
2020-10-04,Denis,3,5
2020-10-05,Denis,2,5
2020-10-07,Denis,4,1
2020-10-08,Denis,4,5
2020-10-09,Denis,5,2
2020-10-11,Denis,3,5
2020-10-14,Denis,2,3
2020-10-17,Denis,4,5
2020-10-18,Denis,3,7
2020-10-23,Denis,4,2
2020-10-25,Denis,3,5
2020-10-26,Denis,4,4
2020-10-27,Denis,4,2
2020-10-30,Denis,4,6
2020-11-01,Denis,2,5
2020-11-02,Denis,5,3
2020-11-07,Denis,4,7
2020-11-08,Denis,4,4
2020-11-13,Denis,5,4
2020-11-16,Denis,3,5
2020-11-26,Denis,5,6
2020-11-27,Denis,2,6
2020-11-28,Denis,5,5
2020-12-02,Denis,4,1
2020-12-03,Denis,5,3
2020-12-04,Denis,3,2
2020-12-07,Denis,3,6
2020-12-09,Denis,2,5
2020-12-10,Denis,2,3
2020-12-12,Denis,2,2
2020-12-14,Denis,2,2
2020-12-18,Denis,5,1
2020-12-19,Denis,4,2
2020-12-22,Denis,4,1
2020-12-23,Denis,5,5
2020-12-25,Denis,2,2
2020-12-26,Denis,5,6
2020-12-27,Denis,3,5
2020-12-31,Denis,3,4
2021-01-06,Denis,4,1
2021-01-12,Denis,3,6
2021-01-17,Denis,4,7
2021-01-23,Denis,4,4
2021-01-25,Denis,3,3
2021-01-26,Denis,2,3
2021-01-27,Denis,4,7
2021-02-01,Denis,3,5
2021-02-05,Denis,4,6
2021-02-15,Denis,3,5
2021-02-18,Denis,5,2
2021-02-20,Denis,2,4
2021-03-01,Denis,2,4
2021-03-02,Denis,3,1
2021-03-05,Denis,5,2
2021-03-07,Denis,4,5
2021-03-16,Denis,5,5
2021-03-17,Denis,5,7
2021-03-18,Denis,2,1
2021-03-26,Denis,2,1
2021-03-30,Denis,2,1
2021-03-31,Denis,2,1
2021-04-02,Denis,5,3
2021-04-05,Denis,2,5
2021-04-07,Denis,3,6
2021-04-08,Denis,5,3
2021-04-09,Denis,3,3
2021-04-19,Denis,3,3
2021-04-21,Denis,5,4
2021-04-22,Denis,2,4
2021-04-23,Denis,5,1
2021-04-24,Denis,5,1
2021-04-25,Denis,3,4
2021-04-27,Denis,5,7
2021-04-29,Denis,2,1
2021-04-30,Denis,4,1
2021-05-01,Denis,4,3
2021-05-03,Denis,2,3
2021-05-04,Denis,5,7
2021-05-07,Denis,3,2
2021-05-10,Denis,3,5
2021-05-11,Denis,4,2
2021-05-12,Denis,4,7
2021-05-14,Denis,5,4
2021-05-16,Denis,2,3
2021-05-18,Denis,5,2
2021-05-21,Denis,5,2
2021-05-22,Denis,5,3
2021-05-23,Denis,2,5
2021-05-24,Denis,2,7
2021-05-27,Denis,3,6
2021-05-29,Denis,5,7
2021-05-30,Denis,5,7
2021-05-31,Denis,3,3
2021-06-01,Denis,2,4
2021-06-05,Denis,3,1
2021-06-10,Denis,3,1
2021-06-12,Denis,4,3
2021-06-13,Denis,4,4
2021-06-16,Denis,4,1
2021-06-19,Denis,5,7
2021-06-21,Denis,5,2
2021-06-28,Denis,2,7
2021-06-29,Denis,3,5
2021-07-01,Denis,5,5
2021-07-05,Denis,3,1
2021-07-07,Denis,4,1
2021-07-08,Denis,3,5
2021-07-18,Denis,4,5
2021-07-21,Denis,3,7
2021-07-23,Denis,4,4
2021-07-24,Denis,5,1
2021-07-26,Denis,3,6
2021-08-07,Denis,3,4
2021-08-10,Denis,5,2
2021-08-16,Denis,3,7
2021-08-17,Denis,3,2
2021-08-18,Denis,5,1
2021-08-20,Denis,5,3
2021-08-23,Denis,2,4
2021-08-25,Denis,4,2
2021-08-27,Denis,3,4
2021-08-29,Denis,4,1
2021-08-30,Denis,2,4
2021-08-31,Denis,4,5
2021-09-01,Denis,3,7
2021-09-02,Denis,3,3
2021-09-06,Denis,4,4
2021-09-07,Denis,5,2
2021-09-09,Denis,5,1
2021-09-15,Denis,3,4
2021-09-16,Denis,5,4
2021-09-20,Denis,4,5
2021-09-22,Denis,3,1
2021-09-23,Denis,3,2
2021-09-28,Denis,4,5
2021-09-29,Denis,2,7
2021-10-05,Denis,5,7
2021-10-06,Denis,3,3
2021-10-08,Denis,5,1
2021-10-09,Denis,2,1
2021-10-12,Denis,4,2
2021-10-13,Denis,5,1
2021-10-16,Denis,2,6
2021-10-17,Denis,2,7
2021-10-20,Denis,2,4
2021-10-21,Denis,5,6
2021-10-25,Denis,2,6
2021-10-29,Denis,4,7
2021-11-09,Denis,5,1
2021-11-13,Denis,5,5
2021-11-15,Denis,3,2
2021-11-19,Denis,3,6
2021-11-20,Denis,4,3
2021-11-21,Denis,3,2
2021-11-22,Denis,4,1
2021-11-24,Denis,2,5
2021-11-28,Denis,4,2
2021-11-30,Denis,5,1
2021-12-02,Denis,5,5
2021-12-03,Denis,4,6
